wo_start_date,wo_finish_date,OrderNo,Order_Info,location_id,is_failure,cause_code,component_type
2021-11-09T00:00:00.000+0000,2021-11-09T00:00:00.000+0000,61141307,ZCS7: 90159 : Generator segment temperature de,Turbine 18,1,null,null
2021-11-09T00:00:00.000+0000,2021-11-09T00:00:00.000+0000,61143178,ZCS7: 3140 : Valve supplyvoltage too low,Turbine 18,1,null,null
2021-11-10T00:00:00.000+0000,2021-11-10T00:00:00.000+0000,61143352,ZCS7: Converter coolant hose - repaired,Turbine 10,1,null,null
2021-11-29T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,61143352,ZCS7: Converter coolant hose - repaired,Turbine 10,1,null,Converter Cooling system
2021-11-12T00:00:00.000+0000,2021-11-12T00:00:00.000+0000,61143422,ZCS7: low coolant,Turbine 1,1,null,null
2021-11-15T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61143422,ZCS7: low coolant,Turbine 1,1,null,Converter Cooling system
2021-11-13T00:00:00.000+0000,2021-11-13T00:00:00.000+0000,61143615,ZCS7: 4200 : Gearoilpump/blower superheated,Turbine 16,1,null,null
2021-11-29T00:00:00.000+0000,2021-12-03T00:00:00.000+0000,61143681,ZCS7: Morning Light T18 gearbox exchange,Turbine 14,1,null,null
2021-11-15T00:00:00.000+0000,2021-12-15T00:00:00.000+0000,61143681,ZCS7: Morning Light T18 gearbox exchange,Turbine 14,1,null,Blades Root (Blades)
2021-11-16T00:00:00.000+0000,2021-11-16T00:00:00.000+0000,61144297,ZCS7: low coolant- leaking radiator,Turbine 10,1,null,null
2021-11-19T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61144297,ZCS7: low coolant- leaking radiator,Turbine 10,1,null,Converter Cooling system
2021-11-19T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61144516,ZCS7: Gear oil Pressure too H/L,Turbine 8,1,null,null
2021-11-29T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,61144516,ZCS7: Gear oil Pressure too H/L,Turbine 8,1,null,Controller No subsystem (Controler)
2021-11-19T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61144629,ZCS7: main breaker cut out,Turbine 10,1,null,null
2021-11-30T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,61144629,ZCS7: main breaker cut out,Turbine 10,1,null,Controller No subsystem (Controler)
2021-11-17T00:00:00.000+0000,2021-11-17T00:00:00.000+0000,61145666,ZCS7: Pitch pawl - replaced,Turbine 10,1,null,null
2021-11-17T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61145666,ZCS7: Pitch pawl - replaced,Turbine 10,1,null,Pitch Pitch system Blade A
2021-11-19T00:00:00.000+0000,2021-11-19T00:00:00.000+0000,61145669,ZCS7: Broken blade bolts - replaced,Turbine 7,1,null,null
